model,replication,accuracy,f1_score,roc_auc,precision,best_params
Logistic Regression,1,0.9790,0.9793,0.9971,0.9660,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9685,0.9689,0.9928,0.9589,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,2,0.9825,0.9827,0.9963,0.9726,"{'C': 1, 'max_iter': 10000}"
Random Forest,2,0.9790,0.9792,0.9953,0.9724,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,3,0.9930,0.9930,0.9992,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9790,0.9790,0.9962,0.9790,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,4,0.9860,0.9861,0.9988,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9685,0.9686,0.9960,0.9653,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,5,0.9860,0.9861,0.9990,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9825,0.9823,0.9977,0.9929,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,6,0.9860,0.9861,0.9989,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9755,0.9754,0.9959,0.9789,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,7,0.9825,0.9827,0.9984,0.9726,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9790,0.9789,0.9949,0.9858,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,8,0.9825,0.9827,0.9989,0.9726,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9755,0.9753,0.9953,0.9857,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,9,0.9860,0.9861,0.9988,0.9793,"{'C': 1, 'max_iter': 10000}"
Random Forest,9,0.9825,0.9825,0.9988,0.9859,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,10,0.9860,0.9861,0.9968,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,10,0.9720,0.9718,0.9954,0.9787,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,11,0.9860,0.9861,0.9988,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9685,0.9686,0.9931,0.9653,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,12,0.9895,0.9895,0.9985,0.9861,"{'C': 1, 'max_iter': 10000}"
Random Forest,12,0.9720,0.9718,0.9961,0.9787,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,13,0.9895,0.9895,0.9989,0.9861,"{'C': 10, 'max_iter': 10000}"
Random Forest,13,0.9755,0.9753,0.9959,0.9857,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,14,0.9930,0.9930,0.9991,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,14,0.9790,0.9789,0.9969,0.9858,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,15,0.9895,0.9895,0.9991,0.9861,"{'C': 10, 'max_iter': 10000}"
Random Forest,15,0.9860,0.9859,0.9981,0.9929,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,16,0.9860,0.9861,0.9988,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,16,0.9685,0.9684,0.9928,0.9718,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,17,0.9930,0.9930,0.9992,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,17,0.9720,0.9718,0.9972,0.9787,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,18,0.9930,0.9930,0.9991,0.9930,"{'C': 10, 'max_iter': 10000}"
Random Forest,18,0.9755,0.9754,0.9977,0.9789,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,19,0.9825,0.9827,0.9989,0.9726,"{'C': 10, 'max_iter': 10000}"
Random Forest,19,0.9720,0.9716,0.9964,0.9856,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,20,0.9860,0.9861,0.9989,0.9793,"{'C': 10, 'max_iter': 10000}"
Random Forest,20,0.9790,0.9789,0.9969,0.9858,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
